Order ID,Order Date,Customer ID,Region,Product ID,Sales,Quantity,Profit
CA-2016-152156,11/8/2016,CG-12520,South,FUR-BO-10001798,261.96,2,41.9136
US-2015-108966,10/11/2015,SO-20335,South,FUR-TA-10000577,957.5775,5,-383.031
CA-2017-114412,4/15/2017,AA-10480,South,OFF-PA-10002365,15.552,3,5.4432
CA-2017-139619,9/19/2017,ES-14080,South,OFF-ST-10003282,95.616,2,9.5616
CA-2016-119823,6/4/2016,KD-16270,South,OFF-PA-10000482,75.88,2,35.6636
US-2015-134026,4/26/2015,JE-15745,South,FUR-CH-10000513,831.936,8,-114.3912
CA-2016-127208,6/12/2016,SC-20770,South,OFF-AP-10002118,208.16,1,56.2032
CA-2015-149734,9/3/2015,JC-16105,South,OFF-EN-10000927,200.984,7,62.8075
CA-2017-140088,5/28/2017,PO-18865,South,FUR-CH-10000863,301.96,2,33.2156
CA-2017-119004,11/23/2017,JM-15250,South,TEC-AC-10003499,74.112,8,17.6016
US-2015-136476,4/5/2015,GG-14650,South,OFF-BI-10003650,157.794,1,-115.7156
CA-2014-158274,11/19/2014,RM-19675,South,TEC-PH-10003273,503.96,4,131.0296
CA-2017-126382,6/3/2017,HK-14890,South,FUR-FU-10002960,35.168,7,9.6712
US-2015-145436,2/28/2015,VD-21670,South,FUR-CH-10004860,161.568,2,-28.2744
US-2014-156216,9/13/2014,EA-14035,South,OFF-BI-10001679,18.648,7,-12.432
US-2017-100930,4/7/2017,CS-12400,South,FUR-TA-10001705,233.86,2,-102.048
CA-2017-136826,6/16/2017,CB-12535,South,OFF-AR-10003602,14.016,3,4.7304
CA-2016-112697,12/18/2016,AH-10195,South,OFF-BI-10000778,254.058,7,-169.372
CA-2017-126774,4/15/2017,SH-20395,South,OFF-AR-10002804,4.89,1,2.0049
CA-2014-167850,8/9/2014,AG-10525,South,TEC-PH-10002398,178.384,2,22.298
CA-2017-153339,11/3/2017,DJ-13510,South,FUR-FU-10001967,15.992,1,0.9995
CA-2016-130001,4/23/2016,HK-14890,South,OFF-PA-10002666,36.24,5,11.325
CA-2017-155698,3/8/2017,VB-21745,South,OFF-AP-10001124,647.84,8,168.4384
US-2015-168935,11/27/2015,DO-13435,South,FUR-TA-10000617,375.4575,3,-157.0095
CA-2014-113166,12/24/2014,LF-17185,South,OFF-PA-10001947,9.568,2,3.4684
CA-2014-155208,4/16/2014,SP-20650,South,OFF-AR-10003478,39.072,6,9.768
CA-2017-154816,11/6/2017,VB-21745,South,OFF-PA-10003845,5.78,1,2.8322
CA-2017-155705,8/21/2017,NF-18385,South,FUR-CH-10000015,866.4,4,225.264
US-2016-123750,4/15/2016,RB-19795,South,OFF-BI-10004584,189.588,2,-145.3508
US-2014-150574,12/19/2014,MK-18160,South,OFF-BI-10000773,4.812,2,-3.6892
US-2016-120929,3/18/2016,RO-19780,South,FUR-TA-10001857,189.882,3,-94.941
CA-2015-134782,12/27/2015,MD-17350,South,OFF-EN-10001434,105.42,2,51.6558
